"GenSp","family"
"Agrion calliphya microdemas","Coenagrionidae"
"Scadra rufidens","Reduviidae"
"Calolelaps coeruleus","Pteromalidae"
"Nesosteles kilaueae","Cicadellidae"
"Epidinocarsis californicus","Encyrtidae"
"Atrometus satelles","Ichneumonidae"
"Drosophila crassifemur","Drosophilidae"
"Neelus poki","Neelidae"
"Orthotylus metrosideri","Miridae"
"Placopsidella marquesana","Ephydridae"
"Proctolaelaps pygmaeus","Ascidae"
"Neanura ili","Hypogastruridae"
"Eurynogaster bullata","Dolichopodidae"
"Eucelatoria armigera","Tachinidae"
"Agrotis ceramophaea","Noctuidae"
"Hyposmocoma chilonella triocellata","Cosmopterigidae"
"Phlyctaenia argoscelis","Crambidae"
"Hyposmocoma partita","Cosmopterigidae"
"Cheyletus malaccensis","Cheyletidae"
"Cleodorella cleodorella","Cosmopterigidae"
"Hyposmocoma suffusella","Cosmopterigidae"
"Philodoria floscula","Gracillariidae"
"Pnigalio externa","Eulophidae"
"Chrysoperla comanche","Chrysopidae"
"Polyplax spinulosa","Polyplacidae"
"Dalotia coriaria","Staphylinidae"
"Drosophila melanopedis","Drosophilidae"
"Scatella sexnotata","Ephydridae"
"Mesovelia mulsanti","Mesoveliidae"
"Ceratothrips frici","Thripidae"
"Phlyctaenia endopyra","Crambidae"
"Schizaphis rotundiventris","Aphididae"
"Acrolepiopsis sapporensis","Acrolepiidae"
"Hyposmocoma scapulella","Cosmopterigidae"
"Ptycta distinguenda","Psocidae"
"Lema daturaphila","Chrysomelidae"
"Scoparia nectarias","Crambidae"
"Nesoprosopis pele","Colletidae"
"Cardiocondyla nuda","Formicidae"
"Brevipalpus obovatus","Tenuipalpidae"
"Halticus bractatus","Miridae"
"Blackburnia kilauea","Carabidae"
"Labrocerus flavicornis","Dermestidae"
"Aulacorthum solani","Aphididae"
"Labrocerus obscurus","Dermestidae"
"Hyposmocoma puncticiliata","Cosmopterigidae"
"Scatella wirthi","Ephydridae"
"Androlaelaps casalis","Laelapidae"
"Pycnoscelus indicus","Blaberidae"
"Neomachilis heteropus","Machilidae"
"Drosophila polliciforma","Drosophilidae"
"Scaptomyza neosilvicola","Drosophilidae"
"Vanessa atalanta","Nymphalidae"
"Liriomyza cocculi","Agromyzidae"
"Epiphanis tristis","Eucnemidae"
"Cryptoblabes gnidiella","Pyralidae"
"Haliophyle euclidias","Noctuidae"
"Dolerothrips lanaiensis","Phlaeothripidae"
"Atrometus citricinctus","Ichneumonidae"
"Eupelmus euprepes","Eupelmidae"
"Psammoechus insularis","Silvanidae"
"Nesiomiris pilosus","Miridae"
"Batrachedra syrraphella","Batrachedridae"
"Batrachedrodes bedelliella","Batrachedridae"
"Platyptilia fuscicornis","Pterophoridae"
"Nesodynerus hiloensis","Vespidae"
"Lynchia nigra","Hippoboscidae"
"Nesophrosyne perkinsi","Cicadellidae"
"Lytogaster gravida","Ephydridae"
"Ectemnius curtipes","Crabronidae"
"Macrosiphum solanifolii","Aphididae"
"Adoretus sinicus","Scarabaeidae"
"Leucostoma aterrimum","Tachinidae"
"Hypoaspis aculeifer","Laelapidae"
"Scotorythra demetrias","Geometridae"
"Lycoriella hoyti","Sciaridae"
"Phytosciara vulcanata","Sciaridae"
"Prabhergia nayarii","Onychiuridae"
"Blastobasis inana","Blastobasidae"
"Chrysopa basalis","Chrysopidae"
"Aphis nerii","Aphididae"
